Source,Target,Type,Id,Label,Weight
infodefSPAIN,vakulinchuk,Directed,0,,1
infodefSPAIN,Irinamar_Z,Directed,1,,1
infodefSPAIN,enplenaluz,Directed,2,,1
infodefSPAIN,surf_noise_sp,Directed,3,,1
infodefSPAIN,tass_es,Directed,4,,1
infodefSPAIN,elOJOen,Directed,5,,1
infodefSPAIN,ahilesvaALV,Directed,6,,1
infodefSPAIN,ucraniando,Directed,7,,1
infodefSPAIN,nuestraamerica,Directed,8,,1
infodefSPAIN,victorternovsky,Directed,9,,1
infodefSPAIN,victor_ternovsky,Directed,10,,1
infodefSPAIN,notipilotoenline,Directed,11,,1
infodefSPAIN,albatrops,Directed,12,,1
infodefSPAIN,informante_universal,Directed,13,,1
infodefSPAIN,EmbajadaRusaEs,Directed,14,,1
infodefSPAIN,MAERusia,Directed,15,,1
infodefSPAIN,rusa_alena,Directed,16,,1
infodefSPAIN,espiritutemplario,Directed,17,,1
infodefSPAIN,liusivaya,Directed,18,,1
infodefSPAIN,rafapalreal,Directed,19,,1
infodefSPAIN,embrusiamexico,Directed,20,,1
infodefSPAIN,Spain_Denuncia,Directed,21,,1
infodefSPAIN,Familias_Unidas,Directed,22,,1
infodefSPAIN,BlancoAzulRojo,Directed,23,,1
infodefSPAIN,ukr_leaks_esp,Directed,24,,1
infodefSPAIN,lajirafanoticiera,Directed,25,,1
infodefSPAIN,lagirafagrupo,Directed,26,,1
infodefSPAIN,rtnoticias,Directed,27,,1
infodefSPAIN,bcnlegendsuncensored,Directed,28,,1
infodefSPAIN,Realidades_Paralelas,Directed,29,,1
infodefSPAIN,diegoenlalucha,Directed,30,,1
infodefSPAIN,helenavillarRT,Directed,31,,1
infodefSPAIN,Eurekapress,Directed,32,,1
infodefSPAIN,ophiucu,Directed,33,,1
infodefSPAIN,MTrum,Directed,34,,1
infodefSPAIN,PalestinaHoy,Directed,35,,1
infodefSPAIN,enotvlatinoamerica,Directed,36,,1
infodefSPAIN,enotvlatam,Directed,37,,1
infodefSPAIN,elespiadeltelon,Directed,38,,1
infodefSPAIN,vamosarusia,Directed,39,,1
infodefSPAIN,vamosarusiachat,Directed,40,,1
infodefSPAIN,QlobalChangeEspana,Directed,41,,1
infodefSPAIN,QAnons_Espana,Directed,42,,1
infodefSPAIN,mundomultipolar2022,Directed,43,,1
infodefSPAIN,mundomultipolarZ,Directed,44,,1
infodefSPAIN,HispanTVcanal,Directed,45,,1
infodefSPAIN,HispanTVcomentarios,Directed,46,,1
infodefSPAIN,nuevo_orden_mundial_canal,Directed,47,,1
infodefSPAIN,nuevo_orden_mundial_chat,Directed,48,,1
infodefSPAIN,elzoomrt,Directed,49,,1
infodefSPAIN,khamenei_es,Directed,50,,1
infodefSPAIN,DAVlDcu,Directed,51,,1
infodefSPAIN,DebateDavidcu,Directed,52,,1
infodefSPAIN,BerdaderaH,Directed,53,,1
infodefSPAIN,smolny7,Directed,54,,1
infodefSPAIN,alertagorriairratia,Directed,55,,1
infodefSPAIN,EmbRusNic,Directed,56,,1
infodefSPAIN,geopoliticaactual,Directed,57,,1
infodefSPAIN,Dolar_kaput,Directed,58,,1
infodefSPAIN,Dolar_kaput_Chat,Directed,59,,1
infodefSPAIN,ehdonbass,Directed,60,,1
infodefSPAIN,cuba_rusia2023,Directed,61,,1
infodefSPAIN,FrentedelEste,Directed,62,,1
infodefSPAIN,atodapotencia,Directed,63,,1
infodefSPAIN,lineasrojas,Directed,64,,1
infodefSPAIN,RusiaEspanaUkraina,Directed,65,,1
infodefSPAIN,embajador_klimenko,Directed,66,,1
infodefSPAIN,EmbRusCuba,Directed,67,,1
